age,education,capitalGain,income
28,8,1,<=50k
59,1,1,<=50k
35,1,1,>50k
38,5,0,>50k
40,8,1,<=50k
50,10,1,>50k
45,5,1,>50k
35,2,1,<=50k
31,5,0,>50k
49,2,1,>50k
36,10,1,<=50k
32,5,0,>50k
27,3,0,>50k
36,1,1,<=50k
56,8,1,<=50k
50,1,1,<=50k
42,9,1,<=50k
54,7,1,<=50k
55,10,0,>50k
25,1,1,<=50k
44,10,1,<=50k
31,2,0,>50k
37,9,1,<=50k
58,5,1,<=50k
55,2,1,>50k
55,3,0,>50k
49,2,0,<=50k
60,9,1,>50k
53,6,1,>50k
60,3,1,<=50k
31,6,0,>50k
32,6,0,>50k
25,8,0,>50k
33,1,1,>50k
36,10,1,<=50k
46,5,0,>50k
52,6,1,<=50k
47,7,0,>50k
59,6,1,<=50k
55,1,1,>50k
42,7,1,<=50k
47,4,0,<=50k
29,7,0,<=50k
44,2,1,>50k
41,10,1,>50k
54,4,0,>50k
57,7,1,>50k
48,3,0,<=50k
41,4,0,<=50k
47,3,0,>50k
59,1,0,<=50k
29,1,0,<=50k
36,10,1,<=50k
34,6,0,<=50k
40,3,1,<=50k
46,6,1,>50k
53,9,0,<=50k
52,4,0,<=50k
47,8,1,>50k
56,5,1,<=50k
58,2,0,<=50k
60,6,0,>50k
25,6,0,<=50k
32,6,1,>50k
49,10,0,>50k
50,3,1,>50k
35,8,0,<=50k
45,8,0,>50k
57,8,1,>50k
58,10,1,>50k
37,4,1,>50k
31,8,0,>50k
44,5,1,<=50k
55,6,1,>50k
32,10,0,<=50k
25,10,0,<=50k
43,1,0,<=50k
43,5,0,>50k
32,5,1,<=50k
47,10,0,<=50k
57,6,1,<=50k
27,1,1,<=50k
44,5,0,>50k
50,8,1,>50k
31,1,0,<=50k
42,3,0,>50k
48,10,1,>50k
45,7,0,<=50k
56,9,1,>50k
56,5,1,<=50k
27,10,1,<=50k
38,5,0,<=50k
37,8,0,<=50k
53,7,0,<=50k
60,2,0,>50k
34,10,0,>50k
27,4,1,<=50k
39,1,1,<=50k
48,5,1,<=50k
28,8,0,<=50k
29,3,1,<=50k
37,5,1,<=50k
52,7,1,<=50k
45,4,1,>50k
52,6,1,>50k
42,4,0,<=50k
50,1,0,>50k
38,9,1,<=50k
31,8,0,>50k
55,10,0,>50k
27,10,0,>50k
28,5,0,>50k
54,3,1,>50k
60,1,1,>50k
57,2,0,<=50k
32,5,1,<=50k
38,7,1,<=50k
43,1,0,>50k
46,10,0,>50k
55,10,1,<=50k
46,9,1,<=50k
28,2,1,<=50k
25,10,0,<=50k
28,6,0,>50k
33,9,0,<=50k
59,8,1,>50k
39,6,1,<=50k
30,10,0,>50k
40,6,1,<=50k
53,8,1,>50k
49,2,0,<=50k
26,5,0,<=50k
33,7,0,<=50k
33,7,0,<=50k
46,10,0,<=50k
53,4,0,<=50k
56,10,1,<=50k
43,6,1,>50k
55,7,0,>50k
28,8,1,>50k
27,9,1,<=50k
52,9,1,>50k
31,7,0,>50k
46,10,1,>50k
52,5,0,<=50k
38,4,0,<=50k
59,7,0,>50k
36,6,1,>50k
46,3,0,>50k
47,9,0,<=50k
54,4,0,<=50k
35,10,1,>50k
46,5,1,>50k
38,8,0,>50k
25,6,0,<=50k
31,1,0,<=50k
56,7,0,<=50k
47,10,1,>50k
60,2,0,<=50k
38,1,1,<=50k
45,10,1,>50k
25,6,0,<=50k
25,7,0,<=50k
44,4,0,>50k
60,7,1,>50k
49,10,0,>50k
33,3,0,>50k
58,2,0,<=50k
36,6,0,>50k
46,2,1,>50k
59,9,0,<=50k
52,2,0,<=50k
53,10,0,>50k
43,7,0,<=50k
50,3,1,>50k
31,1,0,<=50k
39,1,1,>50k
26,5,0,>50k
30,1,0,<=50k
44,8,1,>50k
43,3,0,<=50k
33,8,1,>50k
34,9,0,<=50k
57,7,0,>50k
39,9,0,>50k
45,1,1,<=50k
48,10,1,<=50k
51,2,1,>50k
46,3,1,>50k
31,7,0,>50k
53,5,0,<=50k
53,7,1,<=50k
56,5,0,<=50k
32,3,0,>50k
46,9,1,<=50k
33,6,1,<=50k
35,1,1,>50k
33,1,0,>50k
57,7,1,>50k
48,5,1,<=50k
26,3,1,<=50k
54,9,0,<=50k
48,9,1,<=50k
32,10,0,>50k
57,1,1,>50k
49,7,0,<=50k
31,9,1,<=50k
53,9,0,<=50k
57,9,1,>50k
28,9,1,<=50k
37,2,0,>50k
46,10,0,>50k
46,4,0,<=50k
56,9,0,<=50k
50,3,0,<=50k
54,7,0,<=50k
49,2,1,<=50k
51,4,0,<=50k
40,3,0,>50k
40,7,1,>50k
43,1,1,>50k
55,8,0,>50k
56,5,1,<=50k
55,2,0,<=50k
26,8,0,>50k
43,3,1,>50k
45,5,1,<=50k
40,7,0,<=50k
60,9,1,<=50k
45,7,1,<=50k
33,9,1,>50k
57,9,0,<=50k
45,2,0,<=50k
36,3,0,<=50k
60,6,0,<=50k
48,6,0,>50k
33,7,0,<=50k
57,9,0,>50k
56,6,1,<=50k
45,3,1,>50k
57,7,1,>50k
42,4,1,<=50k
46,3,0,<=50k
47,4,0,>50k
26,8,1,>50k
51,9,1,<=50k
57,8,1,>50k
43,1,1,>50k
36,7,0,>50k
29,2,1,<=50k
60,7,0,<=50k
29,8,1,<=50k
59,9,1,<=50k
47,4,1,<=50k
47,8,0,>50k
34,5,0,<=50k
36,9,1,<=50k
56,7,0,<=50k
35,3,1,>50k
29,10,1,>50k
37,5,0,<=50k
59,1,1,>50k
41,6,0,>50k
35,8,1,>50k
47,3,0,<=50k
26,8,0,>50k
54,3,0,>50k
41,3,0,>50k
43,4,0,>50k
42,6,0,<=50k
40,3,0,<=50k
54,9,1,>50k
59,5,0,<=50k
29,5,1,>50k
30,6,1,<=50k
47,8,0,<=50k
48,2,0,<=50k
42,4,0,<=50k
51,8,1,>50k
36,3,0,<=50k
29,8,0,<=50k
58,5,1,>50k
27,5,0,<=50k
41,3,0,>50k
40,7,0,<=50k
38,7,0,<=50k
51,6,1,<=50k
45,3,1,>50k
55,9,1,<=50k
54,5,1,>50k
57,1,1,<=50k
43,6,0,<=50k
37,8,1,<=50k
56,8,0,<=50k
25,6,1,>50k
58,2,1,>50k
55,1,0,<=50k
49,10,0,>50k
45,10,1,>50k
39,2,1,<=50k
50,7,1,<=50k
37,7,0,<=50k
25,7,0,<=50k
27,2,1,<=50k
55,9,1,<=50k
36,10,0,>50k
46,2,1,<=50k
39,8,1,>50k
51,5,0,<=50k
30,7,0,<=50k
54,5,0,<=50k
40,9,0,<=50k
32,8,1,<=50k
29,6,1,>50k
40,9,0,>50k
42,4,0,<=50k
30,4,1,>50k
46,8,1,>50k
26,4,0,<=50k
52,9,0,>50k
30,5,0,<=50k
59,10,0,>50k
60,10,0,<=50k
48,9,0,>50k
48,3,0,>50k
32,1,0,<=50k
28,3,0,>50k
41,9,0,<=50k
33,1,1,>50k
27,8,0,>50k
60,1,1,<=50k
56,7,1,<=50k
25,5,1,<=50k
33,3,1,<=50k
26,8,0,<=50k
42,6,1,<=50k
35,2,1,>50k
38,4,1,<=50k
31,3,0,>50k
28,8,1,<=50k
35,8,1,<=50k
34,1,1,<=50k
33,8,1,<=50k
35,5,1,<=50k
41,3,0,<=50k
28,1,0,>50k
29,5,0,<=50k
53,8,0,<=50k
46,1,0,>50k
47,6,0,<=50k
39,7,1,<=50k
34,7,0,<=50k
48,3,1,>50k
34,9,0,>50k
49,5,0,>50k
57,1,0,>50k
55,5,1,<=50k
53,3,1,>50k
57,2,1,<=50k
35,7,1,<=50k
54,3,1,>50k
33,10,1,>50k
49,7,0,<=50k
46,1,1,<=50k
49,3,0,>50k
34,1,0,>50k
54,3,0,<=50k
59,9,0,>50k
52,4,0,<=50k
60,9,1,<=50k
48,10,0,<=50k
34,8,1,<=50k
30,4,0,>50k
59,9,0,<=50k
43,10,0,<=50k
40,6,1,>50k
39,1,0,>50k
59,9,1,<=50k
50,5,1,<=50k
59,10,0,>50k
39,10,0,>50k
50,2,0,>50k
43,4,1,<=50k
50,4,1,>50k
47,7,0,>50k
43,5,0,<=50k
25,10,0,>50k
43,7,1,>50k
35,3,1,>50k
45,7,1,<=50k
39,9,0,>50k
41,10,1,<=50k
54,7,1,>50k
59,5,0,<=50k
55,10,1,<=50k
50,10,1,<=50k
35,1,1,>50k
52,5,1,>50k
29,7,0,>50k
52,9,1,<=50k
52,9,0,<=50k
37,2,0,<=50k
47,1,0,>50k
52,4,0,>50k
25,1,0,>50k
55,8,0,>50k
54,2,1,>50k
25,7,0,<=50k
51,3,0,<=50k
53,10,0,>50k
44,6,1,>50k
52,1,1,>50k
34,6,0,>50k
26,3,1,<=50k
47,1,0,<=50k
53,1,0,>50k
51,5,1,<=50k
55,7,1,>50k
31,1,0,>50k
25,8,0,>50k
44,5,0,<=50k
32,1,1,>50k
57,9,1,<=50k
32,3,1,>50k
57,8,0,<=50k
28,10,1,>50k
28,10,0,<=50k
57,8,1,<=50k
41,5,1,>50k
26,7,1,>50k
27,9,0,>50k
58,7,0,<=50k
32,5,1,<=50k
36,10,0,<=50k
42,4,0,<=50k
37,1,0,<=50k
28,1,0,<=50k
39,4,1,<=50k
50,3,1,>50k
51,3,1,<=50k
49,9,1,>50k
55,3,1,>50k
43,9,0,<=50k
33,2,1,<=50k
39,1,0,>50k
60,6,0,>50k
30,1,1,>50k
34,10,0,<=50k
59,10,0,>50k
45,3,0,<=50k
60,3,1,>50k
49,5,1,>50k
51,10,1,>50k
44,6,1,<=50k
29,8,0,>50k
36,9,1,<=50k
43,1,0,>50k
51,5,1,>50k
33,3,0,<=50k
45,5,0,<=50k
53,1,0,>50k
48,3,0,<=50k
51,3,0,>50k
31,10,1,>50k
35,9,1,<=50k
25,9,0,>50k
40,7,1,>50k
50,9,0,>50k
49,9,0,<=50k
59,5,1,>50k
40,3,0,<=50k
54,4,0,>50k
35,1,1,<=50k
56,9,0,<=50k
52,2,0,<=50k
55,6,0,<=50k
26,8,1,<=50k
26,6,1,<=50k
47,6,1,>50k
59,8,1,>50k
57,9,1,<=50k
33,1,0,>50k
60,3,1,>50k
56,8,0,<=50k
41,7,0,>50k
35,4,1,<=50k
46,3,1,>50k
55,6,0,>50k
60,1,0,<=50k
25,4,0,>50k
52,6,0,>50k
54,1,1,<=50k
39,4,0,>50k
58,8,0,<=50k
26,5,0,>50k
55,7,0,>50k
51,2,1,>50k
31,6,1,<=50k
43,6,1,>50k
39,4,0,<=50k
54,7,0,>50k
38,7,1,>50k
60,2,0,<=50k
49,4,1,<=50k
50,8,1,>50k
59,8,1,<=50k
55,1,1,<=50k
51,8,1,<=50k
55,3,1,<=50k
39,2,1,<=50k
33,10,0,<=50k
52,3,1,>50k
45,1,1,>50k
54,8,1,<=50k
43,7,0,>50k
55,1,1,<=50k
25,1,1,<=50k
26,6,0,>50k
26,4,0,<=50k
54,1,1,>50k
50,2,0,>50k
31,4,1,>50k
46,10,1,<=50k
49,1,1,<=50k
47,10,1,<=50k
25,1,1,<=50k
54,5,0,>50k
51,10,1,<=50k
36,8,0,>50k
26,3,0,>50k
39,6,0,>50k
39,7,1,<=50k
53,10,0,<=50k
49,6,1,<=50k
37,1,1,>50k
47,5,1,>50k
41,10,0,<=50k
37,7,0,>50k
32,2,1,>50k
37,4,1,<=50k
26,3,0,<=50k
26,3,1,>50k
57,6,0,<=50k
42,3,1,<=50k
46,7,0,<=50k
49,9,0,<=50k
35,4,1,<=50k
49,4,0,<=50k
40,3,0,>50k
44,5,0,>50k
60,3,1,<=50k
60,9,1,>50k
36,6,0,>50k
38,3,0,<=50k
27,8,0,<=50k
31,5,1,>50k
34,4,0,<=50k
51,7,1,<=50k
38,1,1,>50k
48,3,0,<=50k
46,9,1,>50k
51,5,0,<=50k
59,3,0,>50k
26,2,1,>50k
48,2,1,<=50k
50,4,1,<=50k
26,9,1,>50k
25,4,1,>50k
36,4,1,<=50k
41,1,1,>50k
38,7,1,>50k
58,5,0,<=50k
43,5,1,<=50k
37,10,1,>50k
39,3,0,>50k
32,3,0,>50k
37,7,1,<=50k
54,5,0,<=50k
50,7,0,<=50k
48,7,1,>50k
42,6,1,>50k
40,10,1,<=50k
39,4,1,<=50k
47,10,0,>50k
37,9,0,<=50k
52,6,1,>50k
38,2,1,<=50k
43,7,1,>50k
39,8,1,>50k
47,10,0,<=50k
32,9,0,<=50k
42,3,1,<=50k
52,8,1,<=50k
30,9,1,>50k
54,6,1,<=50k
52,10,1,>50k
42,7,1,<=50k
32,5,1,>50k
41,9,1,>50k
30,8,0,<=50k
47,6,0,>50k
36,4,0,<=50k
36,3,0,>50k
32,1,1,<=50k
26,2,0,>50k
44,2,0,>50k
53,6,1,>50k
40,3,1,<=50k
46,9,0,>50k
52,9,0,>50k
28,6,0,<=50k
28,8,0,>50k
41,8,1,<=50k
27,7,0,>50k
38,8,0,>50k
42,3,0,<=50k
25,7,1,<=50k
57,9,0,<=50k
50,5,0,<=50k
28,3,0,<=50k
56,1,0,>50k
40,9,1,>50k
51,8,1,<=50k
26,9,0,>50k
53,7,0,<=50k
55,3,0,<=50k
46,8,1,>50k
52,5,1,<=50k
55,2,0,<=50k
38,1,0,<=50k
37,4,0,<=50k
45,6,1,<=50k
43,7,0,>50k
52,9,1,>50k
57,2,1,<=50k
54,5,1,<=50k
32,1,1,>50k
26,3,0,>50k
37,4,0,<=50k
55,4,0,>50k
41,10,0,>50k
52,1,1,<=50k
27,7,0,<=50k
49,10,0,<=50k
54,3,0,>50k
50,1,1,<=50k
25,9,1,>50k
32,5,1,<=50k
58,4,0,>50k
48,9,1,<=50k
58,1,1,<=50k
33,1,1,<=50k
36,7,0,>50k
25,6,1,>50k
59,7,0,<=50k
56,9,0,>50k
50,6,1,>50k
25,9,1,>50k
26,5,0,<=50k
52,3,0,<=50k
48,9,0,<=50k
40,7,0,<=50k
58,8,0,<=50k
55,10,0,<=50k
41,3,1,<=50k
40,3,1,>50k
47,4,0,<=50k
51,3,1,<=50k
29,6,1,<=50k
57,2,1,<=50k
37,4,1,>50k
32,6,0,>50k
38,7,1,>50k
34,9,1,>50k
30,10,1,<=50k
31,1,0,<=50k
40,8,1,<=50k
57,8,0,<=50k
30,1,0,>50k
60,4,0,<=50k
41,1,1,<=50k
51,5,1,<=50k
59,4,0,>50k
46,3,1,<=50k
29,2,1,>50k
57,7,1,<=50k
28,9,0,<=50k
29,5,1,>50k
34,6,0,<=50k
30,1,1,>50k
30,6,0,>50k
56,7,1,>50k
60,8,0,>50k
28,6,1,>50k
31,9,1,<=50k
38,10,1,>50k
46,4,0,<=50k
48,9,0,>50k
35,2,1,>50k
36,5,1,<=50k
54,4,0,>50k
51,8,1,<=50k
42,5,1,>50k
54,6,1,>50k
27,6,0,<=50k
33,6,0,>50k
28,3,0,<=50k
35,3,0,>50k
46,5,1,<=50k
46,5,0,<=50k
52,10,0,>50k
50,3,0,<=50k
33,3,0,>50k
52,4,0,<=50k
56,8,1,<=50k
54,2,1,>50k
30,4,0,>50k
28,5,0,<=50k
44,4,1,<=50k
33,3,0,>50k
59,8,0,>50k
31,3,1,>50k
56,5,0,>50k
27,10,1,<=50k
58,3,1,<=50k
57,10,1,>50k
40,7,0,>50k
33,10,0,>50k
44,10,0,<=50k
28,6,1,<=50k
47,6,0,<=50k
55,9,1,<=50k
59,7,1,<=50k
35,1,0,<=50k
53,9,0,>50k
51,1,1,>50k
43,2,0,<=50k
51,1,0,<=50k
48,4,0,<=50k
57,9,1,<=50k
29,2,1,>50k
35,7,1,>50k
48,3,0,<=50k
39,6,0,>50k
45,9,0,>50k
29,7,1,<=50k
53,3,0,>50k
52,8,1,>50k
50,6,0,>50k
49,5,0,<=50k
50,5,1,>50k
44,9,0,<=50k
59,2,0,>50k
58,5,1,<=50k
55,6,0,>50k
39,10,1,>50k
44,5,1,>50k
40,10,0,>50k
60,8,0,>50k
29,8,1,<=50k
32,9,0,>50k
47,7,1,>50k
48,4,0,>50k
31,8,0,<=50k
53,4,0,<=50k
38,9,0,<=50k
56,4,0,<=50k
53,4,0,<=50k
58,10,1,>50k
60,7,1,<=50k
41,10,1,>50k
55,3,0,>50k
38,4,0,<=50k
60,8,1,<=50k
42,9,1,>50k
60,1,0,<=50k
47,1,1,<=50k
25,10,0,<=50k
45,1,0,<=50k
50,9,1,<=50k
56,5,0,>50k
42,3,0,<=50k
28,3,0,>50k
57,6,0,>50k
59,3,1,>50k
29,2,1,>50k
31,2,1,>50k
36,8,1,<=50k
43,8,0,<=50k
33,7,0,<=50k
48,3,0,>50k
34,3,0,<=50k
52,5,1,>50k
32,2,0,>50k
57,2,0,>50k
52,4,0,<=50k
27,10,1,>50k
38,3,0,>50k
55,6,1,<=50k
33,5,1,<=50k
34,2,1,<=50k
38,8,0,<=50k
48,5,0,<=50k
26,2,1,>50k
39,2,1,<=50k
27,8,0,>50k
42,4,1,<=50k
56,3,1,<=50k
